dig through time~dig
dark confidant~bob
solemn simulacrum~sad robot
winding constrictor~snek
gideon, ally of zendikar~chad
nicol bolas~bolas
temple of malady~temple of m'lady
ugin, the spirit dragon~ugin
jace, the mind sculptor~jtms
nissa revane~elf bitch
nissa revane~elf supremacist bitch
birds of paradise~bop
dungeon shade~the real slim shady
delver of secrets~delver
decimator beetle~beetle king
phelddagrif~huggles
kynaios and tiro of meletis~the gays
ludevic, necro-alchemist~mistake
old man of the sea~simon
birthing pod~pod
jace's archivist~bot
painful lesson~read the palms
trespasser's curse~khalid's stab wound
nissa, worldwaker~pg nissa
